video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=hXYA4lvsdhU&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@LCKglobal,LCK Global,KT vs T1 - DRX vs FOX | 2024 LCK Spring Split,774K,Streamed 2 days,LCK #HouseofLegends ✓ Watch LCK live on... - http://twitch.tv/LCK - http://twitch.tv/otplol_ ...,2024-01-29 02:51:46.157723
/watch?v=-B8dmmtQfVg&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@LCKglobal,LCK Global,HLE vs. T1 | Match20 Highlight 01.28 | 2024 LCK Spring Split,27K,14 hours,LCK #HouseofLegends ✓Timeline 00:00 Intro 00:03 Game1 08:36 Game2 15:13 POG Interview ✓ Watch LCK live on.,2024-01-29 02:51:46.166552
/watch?v=WAGx7cs5so0&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@oplolreplay,OPLOLReplay,T1 vs HLE Highlights ALL GAMES | LCK 2024 Spring | T1 vs Hanwha Life Esports,14K,15 hours,In today's episode we're going over the best Highlights from the matchup between T1 & Hanwha Life Esports during the LCK ...,2024-01-29 02:51:46.182054
/watch?v=S_5vlPXLCRc&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@EpicSkillshot,EpicSkillshot - LoL VOD Library,WBG vs T1 - Game 1 | Grand Finals LoL Worlds 2023 | T1 vs Weibo Gaming - G1 full,1.1M,2 months,full game final T1 vs WBG G1 lol worlds 2023 finals - Weibo Gaming vs T1 Game 1. of Season 13 lol eSports World Championship ...,2024-01-29 02:51:46.200343
/watch?v=brF22NJVeWc&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@EpicSkillshot,EpicSkillshot - LoL VOD Library,T1 vs JDG - Game 1 | Semi Finals LoL Worlds 2023 | T1 vs JD Gaming - G1 full,492K,2 months,full game JDG vs T1 G1 lol worlds 2023 Semi finals - JD Gaming vs T1 Game 1. of Season 13 lol eSports World Championship ...,2024-01-29 02:51:46.206359
/watch?v=s1GzyRLwPH4&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@EpicSkillshot,EpicSkillshot - LoL VOD Library,MAD vs T1 - Game 1 | Round 1 LoL MSI 2023 Main Stage | Mad Lions vs T1 G1 full game,546K,8 months,Mad Lions Line-up: Chasy - top Kennen Elyoya - jungle Lee Sin Nisqy - mid Annie Carzzy - ADC Xayah Hylissang - support Pyke ...,2024-01-29 02:51:46.222203
/watch?v=r-AF62Hi4jk&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@oplolreplay,OPLOLReplay,T1 vs HLE Highlights Game 1 | LCK 2024 Spring | T1 vs Hanwha Life Esports,2.8K,16 hours,In today's episode we're going over the best Highlights from the matchup between T1 & Hanwha Life Esports during the LCK ...,2024-01-29 02:51:46.240005
/watch?v=F2tZreXYZdo&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@SKTT1,T1,T1,2.3M,2 months,T1,2024-01-29 02:51:46.248622
/watch?v=7RoBLkbiY5w&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@T1Fighting,T1 Fighting,FIRST LOOK AT T1'S NEW GAMING FACILITY IN GANGNAM (English Tour),1.9M,2 years,"Introducing the T1 HQ at Gangnam, Seoul - a home to the best esports athletes and content creators in the world. #T1 #T1LOL ...",2024-01-29 02:51:46.255372
/watch?v=9K-mok6mhsU&pp=ygUKVDEgZXNwb3J0cw%3D%3D,/@EpicSkillshot,EpicSkillshot - LoL VOD Library,GEN vs T1 - Game 1 | Round 2 LoL MSI 2023 Main Stage | Gen.G vs T1 G1 full game,350K,8 months,Gen.G Line-up: Doran - Top Gwen Peanut - Jungle Wukong Chovy - Mid Ahri Peyz - ADC Aphelios Delight - Support Rakan T1 ...,2024-01-29 02:51:46.267764
